time,date,itemid,price,discount,price_before_discount,stock,sold,item_status,cmt_count,liked_count
1685854892,20230604,22533232350,3498969247379,11%,3950449150267,1258,0,normal,8,0
1685858091,20230604,22533232350,3588233299303,11%,4051231144375,1217,0,normal,8,0
1685858795,20230604,22533232350,2771158653142,11%,3128727511612,1404,0,normal,7,0
1685860294,20230604,22533232350,3211221308556,11%,3625572445144,1137,0,normal,13,0
1685862159,20230604,22533232350,3653508260208,11%,4124928680880,1268,0,normal,13,0
1685863872,20230604,22533232350,2794230080689,11%,3154775897552,1236,0,normal,10,0
1685866014,20230604,22533232350,3121811517197,11%,3524625906513,1352,0,normal,9,0
1685867492,20230604,22533232350,2791559731762,11%,3151760987473,1437,0,normal,8,0
1685869616,20230604,22533232350,3202862714380,11%,3616135322687,1389,0,normal,11,0
1685871092,20230604,22533232350,3144174092603,11%,3549873975520,1183,0,normal,10,0
1685872982,20230604,22533232350,2821259887991,11%,3185293421926,1145,0,normal,12,0
1685874700,20230604,22533232350,3249647125911,11%,3668956432480,1402,0,normal,7,0
1685876539,20230604,22533232350,2728018746193,11%,3080021165056,1398,0,normal,11,0
1685878301,20230604,22533232350,3658665035726,11%,4130750846788,1285,0,normal,10,0
1685878908,20230604,22533232350,3620392295304,11%,4087539688247,1213,0,normal,9,0
1685879324,20230604,22533232350,3271649459558,11%,3693797776921,1497,0,normal,10,0
1685880348,20230604,22533232350,2920709305583,11%,3297575022432,1382,0,normal,12,0
1685880532,20230604,22533232350,3336864183416,11%,3767427303856,1269,0,normal,13,0
1685881553,20230604,22533232350,3024313130054,11%,3414547082319,1182,0,normal,12,0
1685881721,20230604,22533232350,2996468884653,11%,3383110031060,1320,0,normal,11,0
1685881893,2023-06-04 12:31:33,22533232350,2852058174239,11%,3220065680593,1132,0,normal,7,0
1685882722,2023-06-04 12:45:22,22533232350,2759496320394,11%,3115560361735,1428,0,normal,12,0
1685883918,2023-06-04 13:05:18,22533232350,3673420174685,11%,4147409874644,1369,0,normal,13,0
1685885027,2023-06-04 13:23:47,22533232350,2812911392055,11%,3175867700708,1441,0,normal,13,0
1685885486,2023-06-04 13:31:26,22533232350,2830870831692,11%,3196144487394,1459,0,normal,10,0
1685887347,2023-06-04 14:02:27,22533232350,3388880337866,11%,3826155220172,1346,0,normal,11,0
1685889081,2023-06-04 14:31:21,22533232350,3230425176493,11%,3647254231525,1143,0,normal,13,0
1685890989,2023-06-04 15:03:09,22533232350,2847480174407,11%,3214896971104,1468,0,normal,7,0
1685892681,2023-06-04 15:31:21,22533232350,3387109791875,11%,3824156216633,1113,0,normal,8,0
1685894806,2023-06-04 16:06:46,22533232350,2899516243511,11%,3273647371706,1194,0,normal,8,0
1685896453,2023-06-04 16:34:13,22533232350,2737284858344,11%,3090482904582,1293,0,normal,7,0
1685898151,2023-06-04 17:02:31,22533232350,2741316078896,11%,3095034282624,1438,0,normal,10,0
1685899874,2023-06-04 17:31:14,22533232350,3047072632121,11%,3440243294331,1107,0,normal,7,0
1685901929,2023-06-04 18:05:29,22533232350,3315028539766,11%,3742774157801,1164,0,normal,7,0
1685903486,2023-06-04 18:31:26,22533232350,2788590798158,11%,3148408965662,1341,0,normal,9,0
1685905328,2023-06-04 19:02:08,22533232350,3046100952703,11%,3439146236923,1343,0,normal,13,0
1685907080,2023-06-04 19:31:20,22533232350,3568729518866,11%,4029210747106,1471,0,normal,8,0
1685908987,2023-06-04 20:03:07,22533232350,3293714082313,11%,3718709447773,1439,0,normal,10,0
1685910688,2023-06-04 20:31:28,22533232350,3043996792375,11%,3436770572036,1403,0,normal,11,0
1685912575,2023-06-04 21:02:55,22533232350,2911644322213,11%,3287340363789,1476,0,normal,9,0
1685914287,2023-06-04 21:31:27,22533232350,3600894024620,11%,4065525511668,1375,0,normal,12,0
1685916191,2023-06-04 22:03:11,22533232350,3543597675504,11%,4000836085246,1400,0,normal,12,0
1685917881,2023-06-04 22:31:21,22533232350,2759142733245,11%,3115161150438,1126,0,normal,8,0
1685919788,2023-06-04 23:03:08,22533232350,3250577385708,11%,3670006725800,1161,0,normal,9,0
1685921479,2023-06-04 23:31:19,22533232350,3357148748604,11%,3790329232295,1352,0,normal,12,0
1685925272,2023-06-05 00:34:32,22533232350,2862893721478,11%,3232299362959,1499,0,normal,7,0
1685931526,2023-06-05 02:18:46,22533232350,3566760611854,11%,4026987787577,1455,0,normal,7,0
1685933966,2023-06-05 02:59:26,22533232350,3696555826351,11%,4173530771687,1375,0,normal,13,0
1685934907,2023-06-05 03:15:07,22533232350,3231891636430,11%,3648909912098,1123,0,normal,10,0
1685935882,2023-06-05 03:31:22,22533232350,3273180665167,11%,3695526557447,1237,0,normal,7,0
